id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
20218037,83835882,Andi Und Maria,Mitte,Regierungsviertel,52.510658,13.379387,Private room,0.000000,1,70,3,10
20448073,81030660,Isabell,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.490158,13.376745,Private room,0.000000,1,0,3,0
21154484,10246791,Jeanne,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.509415,13.460555,Private room,0.000000,3,0,1,0
20717658,127309004,Kim,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.505836,13.465071,Entire home/apt,0.000000,3,4,4,230
20382969,34385521,René,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.521408,13.453777,Private room,0.000000,4,1,2,0
20317884,23943422,Stephan,Pankow,Prenzlauer Berg Süd,52.536575,13.429483,Entire home/apt,0.000000,2,1,3,0
18612697,49435601,Svenja,Tempelhof - Schöneberg,Marienfelde,52.420357,13.366275,Private room,0.000000,1,26,1,124
20671210,1210739,TRIO Apartment Hotel,Marzahn - Hellersdorf,Marzahn-Süd,52.518929,13.525894,Entire home/apt,0.000000,3,3,17,343
22739713,167202681,Raafat,Mitte,Moabit Ost,52.525639,13.367185,Private room,1.000000,1,87,1,5
21911198,159867873,Dhia,Steglitz - Zehlendorf,Albrechtstr.,52.460239,13.333190,Shared room,8.000000,1,10,1,0
2161434,8864348,Maria,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.513226,13.438203,Private room,8.000000,15,1,1,0
16298466,80898392,Paolo,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.504581,13.397133,Private room,8.000000,1,44,4,0
24452824,80898392,Paolo,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.505836,13.395250,Private room,8.000000,1,35,4,0
10961123,56855980,Ann,Mitte,Brunnenstr. Nord,52.550385,13.384695,Private room,9.000000,7,1,1,0
13630379,42990588,Babs,Neukölln,Rudow,52.415680,13.488413,Private room,9.000000,2,0,1,0
25853319,194247858,Circle,Tempelhof - Schöneberg,Schöneberg-Süd,52.480522,13.346458,Shared room,9.000000,60,0,1,279
24730795,10588246,Jacob,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.517895,13.465117,Entire home/apt,9.000000,1,6,4,0
18028772,8274829,Jens,Steglitz - Zehlendorf,Drakestr.,52.426304,13.281162,Private room,9.000000,1,11,1,132
8021361,42350439,Jessy,Pankow,Prenzlauer Berg Südwest,52.538719,13.407640,Private room,9.000000,1,0,1,0
17281529,62517389,Paul,Pankow,Prenzlauer Berg Südwest,52.537506,13.413592,Entire home/apt,9.000000,95,26,1,0
28996273,190098008,R.Cesar,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.494949,13.382766,Shared room,9.000000,7,2,2,148
29045424,190098008,R.Cesar,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.496559,13.380969,Shared room,9.000000,3,1,2,144
2382613,6417948,Rex,Steglitz - Zehlendorf,Teltower Damm,52.420811,13.233494,Private room,9.000000,54,5,1,0
28665983,20779009,Seli,Mitte,Brunnenstr. Nord,52.544998,13.371609,Private room,9.000000,3,3,1,8
265402,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.510643,13.445674,Shared room,9.000000,1,10,14,276
265408,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.510925,13.447062,Shared room,9.000000,1,5,14,275
265416,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.509991,13.446542,Shared room,9.000000,1,58,14,319
265433,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.510601,13.445242,Shared room,9.000000,1,25,14,318
265444,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.510445,13.445327,Shared room,9.000000,1,73,14,314
3108596,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.510628,13.445792,Shared room,9.000000,1,19,14,294
3108686,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.509525,13.446431,Shared room,9.000000,1,20,14,312
3109015,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.509529,13.445415,Shared room,9.000000,1,16,14,316
3109139,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.510437,13.446958,Shared room,9.000000,1,44,14,310
22715135,55574857,William,Mitte,Parkviertel,52.557137,13.335183,Private room,9.000000,2,6,1,0
11223811,48304780,Yingya,Neukölln,Gropiusstadt,52.424637,13.476090,Private room,9.000000,1,0,1,0
11933723,14509424,Aleksej,Pankow,Weißensee,52.555073,13.431726,Shared room,10.000000,10,3,1,0
21935915,47610585,Anja,Mitte,Moabit West,52.520988,13.338443,Shared room,10.000000,1,0,3,3
22480402,35651427,Daniele,Neukölln,Buckow,52.426144,13.406885,Entire home/apt,10.000000,30,3,1,99
11239411,2826130,David,Mitte,Moabit Ost,52.536026,13.358258,Private room,10.000000,6,1,1,0
18005246,31961550,Emiliano,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.515636,13.459548,Private room,10.000000,14,0,1,0
29571566,57095597,Erika,Mitte,Brunnenstr. Süd,52.534744,13.397882,Entire home/apt,10.000000,7,0,1,15
29096509,102744742,Felix,Lichtenberg,Alt-Lichtenberg,52.513573,13.476752,Shared room,10.000000,1,4,2,20
16184180,105678463,Galo,Steglitz - Zehlendorf,Lankwitz,52.436615,13.345710,Private room,10.000000,14,0,1,0
9964785,14943212,Hajo,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.515079,13.436863,Private room,10.000000,1,1,1,0
21379756,154843007,Hanna,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.498882,13.459279,Private room,10.000000,4,1,1,0
17245968,88250254,Hannes,Mitte,Alexanderplatz,52.523098,13.393157,Private room,10.000000,10,0,1,0
